Timestamp,SBD ,Task,Tên file ,Column 5
8/5/2025 21:05:21,T8.28,Task 2,https://drive.google.com/open?id=1pR9NIA5vFwKwE4MPS4jIHRwKeUYSUyAZ,Done
8/5/2025 22:02:21,T8.14,Task 1,https://drive.google.com/open?id=12InKlNRjeaPS0zgxT3i_sgm95gHvyCzz-l0orhcriUc,Done
8/6/2025 1:40:42,T8.39,Task 1,https://drive.google.com/open?id=1C7ndRrV42W8O6SmCgWvz0ppAZ4v_mhpDejUnMp5TXh0,Done
8/6/2025 1:42:43,T8.21,Task 1,https://drive.google.com/open?id=11m79-h5Nxnk3Aqh_HOpginqwXg8Fx2bo6b6XrmJYgkQ,Done
8/6/2025 2:30:17,T8.27,Task 1,https://drive.google.com/open?id=19UW34Xz8Qkxy3LkYi3WiQF44jwUHieUU0dt7cI7Wly4,Done
8/6/2025 16:32:14, T8.03,Task 1,https://drive.google.com/open?id=1G8P_ILRmXCiDaij-xdU7PPyt8c9B3u3U,Done
8/6/2025 20:34:40,T8.46,Task 1,https://drive.google.com/open?id=1wWtlf-l9g7H5i7u9w6kHQQghay8UaU8Qx9UOxk5sHTk,Done
8/6/2025 21:15:35,T8.33,Task 1,https://drive.google.com/open?id=1FzXU9gQDnIHtPiQY0n9b_q06UbbGU5jNSazSkzrZYjM,Done
8/6/2025 21:45:04,T8.64,Task 2,https://drive.google.com/open?id=147cb5q3ls3uQ-q6sgpudJNS1haG0uwdlx0WMBWG1n9Q,Done
8/6/2025 22:36:33,T8.40,Task 1,https://drive.google.com/open?id=13zmG3Bj_09PhbdjJPWYiMCsUTVJpkLtS,Done
8/6/2025 22:51:35,T8.44 ,Task 2,https://drive.google.com/open?id=1ta64FIluaK3-c_-LSFgjEfiPNFGNMiWRa8h9Nyv9BMU,Done
8/6/2025 23:10:22,T8.13,Task 1,https://drive.google.com/open?id=1Yjj0dLgV4fNYmZGFB2vm_hgLuuo1P24I65rS9FOyn94,Done
8/7/2025 10:35:17,T8.04,Task 2,https://drive.google.com/open?id=1oxQ2C44qajq7xD5Xv88lB7F-HCBYalf1CXbxpKLqWSs,Done
8/7/2025 11:58:07,T8.97,Task 1,https://drive.google.com/open?id=1XSBv2XBJWQKR0RI1aX8kqwe3j1yKgjij,Done
8/7/2025 11:58:39,T8.97,Task 1,https://drive.google.com/open?id=16MXRwEfKLfoBbbYEv9560U2qgUP3VSVd,Done
8/7/2025 13:30:32,T8.02,Task 1,https://drive.google.com/open?id=1LUI8IlJeaoHsNJt_voAur19oY5OayqNAvnDd7yCoz_0,Done
8/7/2025 14:26:17,T8.07 ,Task 1,https://drive.google.com/open?id=1hjLpTqyge_VzY93NZL7vQ7WNGS4iIRjXKtXWXxMx138,Done
8/7/2025 16:15:16,T8.18,Task 2,https://drive.google.com/open?id=1BXivy5oMWs4JX8I0jlcqzBSgNN4xQR3PNHCbSE__U-k,Done
8/7/2025 18:44:37,T8.102,Task 1,https://drive.google.com/open?id=1penyxLEdKxSz_EwC51lp5uE6GCjy_n4K9Vf9CeyHrmM,Done
8/7/2025 21:12:12,T8.28,Task 2,https://drive.google.com/open?id=1zb1NT-GgItb-5W8IqotFYhHmsh-9-xewpvAXfJLijcA,Done
8/9/2025 10:59:40,T8.78,Task 1,https://drive.google.com/open?id=19XxZ_Ofvq_QrMEm3GYTyctJu3-3nkwGR_-ZS1bCVk4g,Done
8/9/2025 11:07:07,T8.40,Task 1,https://drive.google.com/open?id=1CU70e08ScoUeLguONo3KeVft96fNgECj,Done
8/9/2025 13:26:40,T8.26,Task 1,https://drive.google.com/open?id=1Zvl3YeACZIodp43wsWXNYZ_hjuxqhe8tQcez6k8Sud0,Done
8/9/2025 13:42:27,T8.96,Task 1,https://drive.google.com/open?id=1dokFvWsDOcNPU4FT8Z12z2oeh-rNDXRKHqwXnnMetjc,Done
8/9/2025 17:35:50,T8.114,Task 1,https://drive.google.com/open?id=1ZY2RPZlL0KtXz6jvQRG-Un918FSoYrNyPlMXgDsgbsI,Done
8/9/2025 18:28:48,T8.19,Task 1,https://drive.google.com/open?id=1fkkJk854wmdSIsfoILlfcONO9qCwc2A2jbVXSl1cQjs,Done
8/9/2025 19:25:58,T8.27 ,Task 1,https://drive.google.com/open?id=1J6PyiXATqz7RZAGrn9a8jGP08k6kdT5K5UkV-uwI9hE,Done
8/9/2025 20:54:59,T8.09,Task 2,https://drive.google.com/open?id=1b94LESYQ8YtCDrSez5nx9DDuSqQSeOpcXiXUocD4kOo,Done
8/9/2025 22:46:14,T8.17,Task 1,https://drive.google.com/open?id=1CN1-B2V5qYQKzjxIXzjUeczWj68zix3oHEmhOzqgoVE,Done
8/9/2025 23:08:05,T8.08,Task 1,https://drive.google.com/open?id=1-I2oXUfi94a0JtnSrxQSTvnXMFawUyB0yuF4tuYXkhE,Done
8/9/2025 23:30:20,T8.14,Task 1,https://drive.google.com/open?id=11888VSdKx-c1fDumeH9zmvzQbdMm7REUI3JEC8_JzZo,Done
8/10/2025 15:49:23,T8.27,Task 1,https://drive.google.com/open?id=1eSSsP_HMNCPO6asYstVNXaEMIOtFzV1pbW7YOKfHNJo,Done
8/10/2025 16:15:00,T8.34,Task 1,https://drive.google.com/open?id=1_MVEuDT_IQ2LaDDimDnre4KeUODKKc-DGthx9vg5CZ4,Done
8/10/2025 16:19:01,T8.23 ,Task 1,https://drive.google.com/open?id=10dc3hW821iVK8jnCHNdGzN8rU7zRsfhOLkkVoHSN8ic,Done
8/10/2025 16:25:27,T8.14,Task 1,https://drive.google.com/open?id=1GSS79vAVEUFv5FnnvpXAXgmzM6r6kW7MTBM2_AYZvP0,Done
8/10/2025 16:57:32,T8.21,Task 1,https://drive.google.com/open?id=11wEaOZpaJRpi5RB4C5xWBm3_GsrphdYNw1Cg__erX5E,Done
8/10/2025 17:12:37,T8.14,Task 1,https://drive.google.com/open?id=1XVUCSsDsdnOyQPnFqs4MCCnUIuUq00iwjIp5OfORyEk,Done
8/10/2025 18:16:22,T8.112,Task 1,https://drive.google.com/open?id=1qGYP38o3ng5acIQtqt76N4Eq7VhlLPfe4JOoxMPNI_M,Done
8/10/2025 20:20:05,T8.97,Task 1,https://drive.google.com/open?id=14NP7gp1-sFMW4w-B-wOR4NIK1DPF2M-y,Done
8/10/2025 20:30:39,T8.40,Task 1,https://drive.google.com/open?id=1Gz-uGbfblzlmUlqU6jXV-CNW9CiRb0GE,Done
8/10/2025 21:14:09,T8.24,Task 1,https://drive.google.com/open?id=1xUkPeM7zOTfRiFkmDo8iG0L_GvauEQRpRn7GrNN3Xw4,Done
8/10/2025 22:04:09,T8.70,Task 2,https://drive.google.com/open?id=12jpPLK9ycAPLdMhVo4HZZnVjkiYWZHSj1kE2eaZi3iQ,Done
8/10/2025 22:04:58,T8.70,Task 2,https://drive.google.com/open?id=19f4tVQ_r9IsEgeJt8bemRmggsSEMD1l7byTu5XgpGvs,Done
8/10/2025 22:06:13,T8.70,Task 2,https://drive.google.com/open?id=1RX8c-g7ZYMc49Yx4Mf_OaK-i30Sh-cppWgdfa1UCzdI,Done
8/10/2025 22:30:59,T8.98,Task 1,https://drive.google.com/open?id=1_aqTcdjVNyqDKR4GefPp3st2tJRWVsx8,Done
